organization,location,location_id,project,project_id,recording_date_time,recording_id,recording_length,scientific_name,species_common_name,species_code,start_s,end_s,confidence,is_species_allowed_in_project,version
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,99.00,102.00,59.7,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,99.00,102.00,42.6,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Dendrocitta formosae,,,99.00,102.00,26.7,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,102.00,105.00,85.0,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga caryocatactes,Eurasian Nutcracker,NUCCAR,102.00,105.00,53.8,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Dendrocitta formosae,,,105.00,108.00,45.8,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,105.00,108.00,42.3,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Dendrocitta cinerascens,,,105.00,108.00,32.2,f,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,111.00,114.00,33.1,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Nucifraga columbiana,Clark's Nutcracker,CLNU,114.00,117.00,46.4,t,lite
PC,AKAMINA-91,214834,Waterton Lakes National Park - EI Songbird Monitoring 2021,925,2021-06-25 05:32:45,305800,600,Dendrocitta formosae,,,114.00,117.00,28.1,f,lite
