locatin,year,landCover_2016,landCover_2019
Stoney Flats_157,2019,50,50
Stoney Flats_158,2018,100,100
Stoney Flats_158,2019,100,100
Stoney Flats_159,2019,50,50
Stoney Flats_160,2019,100,100
Stoney Flats_161,2019,100,100
Summit Lake_12,2018,210,33
Summit Lake_120,2018,210,50
Summit Lake_121,2018,100,100
Summit Lake_122,2018,100,100
Summit Lake_123,2018,100,100
Summit Lake_125,2018,50,50
Summit Lake_127,2018,100,100
Summit Lake_128,2018,100,100
Summit Lake_129,2018,100,100
Summit Lake_16,2018,210,33
Akamina_90,2008,80,80
Akamina_90,2009,80,80
Akamina_90,2010,80,80
Akamina_90,2014,80,80
Akamina_90,2015,80,80
Akamina_90,2016,80,80
Akamina_90,2017,80,80
Akamina_90,2018,80,80
Akamina_90,2019,80,80
Akamina_91,2008,80,80
Akamina_91,2009,80,80
Akamina_91,2010,80,80
Akamina_91,2014,80,80
Akamina_91,2015,80,80
Akamina_91,2016,80,80
Akamina_91,2017,80,80
Akamina_91,2018,80,80
Akamina_91,2019,80,80
Akamina_92,2009,80,80
Akamina_92,2010,80,80
Akamina_92,2014,80,80
Akamina_92,2015,80,80
Akamina_92,2016,80,80
Akamina_92,2017,80,80
Akamina_92,2018,80,80
Akamina_92,2019,80,80
Akamina_94,2008,80,80
Akamina_94,2009,80,80
Akamina_94,2010,80,80
Akamina_94,2014,80,80
Akamina_94,2015,80,80
Akamina_94,2016,80,80
Akamina_94,2017,80,80
Akamina_94,2018,80,80
Akamina_94,2019,80,80
Akamina_95,2008,220,220
Akamina_95,2009,220,220
Akamina_95,2010,220,220
Akamina_95,2014,220,220
Akamina_95,2015,220,220
Akamina_95,2016,220,220
Akamina_95,2017,220,220
Akamina_95,2018,220,220
Akamina_95,2019,220,220
Cardston Entrance_550,2007,100,100
Cardston Entrance_550,2008,100,100
Cardston Entrance_550,2009,100,100
Cardston Entrance_550,2010,100,100
Cardston Entrance_550,2011,100,100
Cardston Entrance_550,2012,100,100
Cardston Entrance_550,2013,100,100
Cardston Entrance_550,2014,100,100
Cardston Entrance_550,2015,100,100
Cardston Entrance_550,2016,100,100
Cardston Entrance_550,2017,100,100
Cardston Entrance_550,2018,100,100
Cardston Entrance_550,2019,100,100
Cardston Entrance_551,2007,100,100
Cardston Entrance_551,2008,100,100
Cardston Entrance_551,2009,100,100
Cardston Entrance_551,2010,100,100
Cardston Entrance_551,2011,100,100
Cardston Entrance_551,2012,100,100
Cardston Entrance_551,2013,100,100
Cardston Entrance_551,2014,100,100
Cardston Entrance_551,2015,100,100
Cardston Entrance_551,2016,100,100
Cardston Entrance_551,2017,100,100
Cardston Entrance_551,2018,100,100
Cardston Entrance_551,2019,100,100
Cardston Entrance_552,2007,100,100
Cardston Entrance_552,2008,100,100
Cardston Entrance_552,2009,100,100
